科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
000211012,3.0,政治學,Political science,蔡中民,TSAI CHUNG-MIN,政治系,三234,wed09-12 wed 09 10 11,大勇210104,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:政治系優先。,
000213002,2.0,經濟學,Economics,王國樑、李為,WANG KUO-LIANG/LEE WEI-CHEN,經濟系,三78,wed16-18 wed 16 17,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:法律系學生優先,
000213012,2.0,經濟學,Economics,丁秀吟,DING HSIU-YIN,經濟系,三34,wed10-12 wed 10 11,大勇210201,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:地政系土管土資一學生優先,
000215012,3.0,貨幣銀行學,Money and Banking,方中柔,FANG CHUNG-ROU,經濟系,五234,fri09-12 fri 09 10 11,綜合270113,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000215022,3.0,貨幣銀行學,Money and Banking,林馨怡,LIN HSIN-YI,經濟系,一D56,mon13-16 mon 13 14 15,大勇210105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一次上課請務必出席,
000215032,3.0,貨幣銀行學,Money and Banking,蕭明福,SHAW MING-FU,經濟系,四D56,thu13-16 thu 13 14 15,大勇210106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2017/12/28;,＠備註Note:N/A,
000215042,3.0,貨幣銀行學,Money and Banking,賴廷緯,LAI TING-WEI,經濟系,五234,fri09-12 fri 09 10 11,綜合270412,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課,
000216001,3.0,社會學,Sociology,姜以琳,CHIANG YI-LIN,社會系,四D56,thu13-16 thu 13 14 15,大勇210205,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2018/01/17;,＠備註Note:N/A,
000217002,3.0,個體經濟學,Microeconomics,江品慧,CHIANG PIIN-HUEIH,經濟系,二234,tue09-12 tue 09 10 11,綜合270412,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程英語授課，另有實習課,
000217012,3.0,個體經濟學,Microeconomics,陳鎮洲,CHEN JENN-JOU,經濟系,三234,wed09-12 wed 09 10 11,資訊140306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課,
